label,other,area,name,gros_label,sectors,x,y
18C84,NO,18,PH35 4,QTC84,,209337.494030214,802876.40125976
18C21,NO,18,IV22 2,QTC21,,195448.010714356,869840.175268452
18C26,NO,18,IV27 4,QTC26,,239188.322971602,936614.908971125
18C60,NO,18,KW14 7,QTC60,,289829.609638685,960895.404114053
27C02,NO,27,ZE2 9,RDC02,,436057.115849729,1157683.85014739
04C18,NO,04,PA28 6,QDC18,,170897.439710584,624153.337717856
08C26,NO,08,DG8 0,QHC26,,223683.003490585,565680.242367835
08C28,NO,08,DG8 7,QHC28,,246120.654439447,572160.208686664
28C07,NO,28,KA26 0 (part),REC07,,219973.671554085,584226.125333775
10C24,NO,10,KA6 7 (part),QKC24,,246632.711446301,604264.774572958
08C25,NO,08,DG7 3 (part),QHC25,,263892.081902574,584512.343000319
08C19,NO,08,DG3 5,QHC19,,290622.554399196,598961.564914902
08C11,NO,08,DG13 0,QHC11,,331455.746588559,594172.759490543
29C29,NO,29,ML12 6 (part),RFC29,,295942.958703383,624229.871003582
05C26,NO,05,TD7 5 (part),QEC26,,330060.216672466,620935.440452878
05C28,NO,05,TD9 0,QEC28,,347890.446620659,597416.954961975
05C29,NO,05,TD9 7,QEC29,,339682.973431063,611895.596308032
04C39,NO,04,PA60 7,QDC39,,155843.269631475,681108.045894642
18C85,NO,18,PH36 4,QTC85,,162903.946839522,766326.712731698
22C25,NO,22,KA27 8,QYC25,,195991.211028555,635638.166123346
04C19,NO,04,PA29 6,QDC19,,178836.606587088,657630.988026932
04C21,NO,04,PA31 8,QDC21,,182345.540355006,691583.965846464
30C21,NO,30,G63 0 (part),RGC21,,251649.467234241,690362.473726986
30C17,NO,30,FK8 3,RGC17,,252766.537382117,700718.059879354
30C04,NO,30,FK17 8,RGC04,,256740.166727366,709463.927200071
04C24,NO,04,PA34 4,QDC24,,188310.499079487,721085.606261224
04C26,NO,04,PA35 1,QDC26,,204185.93023804,727726.057044972
04C23,NO,04,PA33 1,QDC23,,211076.776307727,721012.294609699
04C28,NO,04,PA37 1,QDC28,,198808.738169679,739392.036023476
18C82,NO,18,PH33 7,QTC82,,195733.821056535,770402.985716652
18C87,NO,18,PH38 4,QTC87,,175975.647900169,779245.174777416
18C90,NO,18,PH41 4,QTC90,,180331.603344019,799645.94644702
18C92,NO,18,PH49 4,QTC92,,221166.977839206,753256.298516495
18C81,NO,18,PH33 6,QTC81,,217262.034903454,767004.037236638
25C24,NO,25,PH17 2,RBC24,,251516.492776629,758656.377968553
18C83,NO,18,PH34 4,QTC83,,213387.03753223,791324.586482624
18C79,NO,18,PH31 4,QTC79,,234113.402906821,776205.814284643
25C34,NO,25,PH6 2,RBC34,,271491.960755736,721894.449079918
30C09,NO,30,FK21 8 (part),RGC09,,253116.6486013,733008.987721304
25C13,NO,25,PH1 3,RBC13,,299278.339505419,728442.159401142
25C37,NO,25,PH8 0,RBC37,,292353.098815459,739709.47303129
25C22,NO,25,PH15 2,RBC22,,266589.547437678,744847.921077993
25C23,NO,25,PH16 5,RBC23,,282321.106470243,759173.157435657
18C71,NO,18,PH19 1,QTC71,,256452.081064884,780618.720100469
18C72,NO,18,PH20 1,QTC72,,251069.560267393,792328.61869704
25C25,NO,25,PH18 5,RBC25,,281521.46304133,773149.263146087
25C17,NO,25,PH10 7,RBC17,,308887.280809138,764526.550037635
02C17,NO,02,AB35 5,QBC17,,317279.897395862,791661.975684318
18C42,NO,18,IV51 9,QTC42,,143665.733722603,854275.929489087
32C04,NO,32,HS3 3,RJC04,,110217.887759758,901635.743102519
32C03,NO,32,HS2 9,RJC03,,122575.103023036,924046.34240301
32C02,NO,32,HS2 0,RJC02,,142650.762641587,947145.231726785
18C31,NO,18,IV40 8,QTC31,,197830.433438612,823365.693563408
18C45,NO,18,IV54 8,QTC45,,189354.731714236,846762.877432679
18C30,NO,18,IV4 7,QTC30,,229739.569242178,834040.787269366
18C48,NO,18,IV6 7,QTC48,,233346.13952687,850388.301122572
18C08,NO,18,IV14 9,QTC08,,238463.002055282,871189.529625158
18C73,NO,18,PH21 1,QTC73,,279005.987527953,797856.963576128
18C17,NO,18,IV2 6,QTC17,,259377.503650142,823716.790925235
25C31,NO,25,PH3 1,RBC31,,295075.263188004,713315.026044235
18C07,NO,18,IV13 7,QTC07,,273456.934502071,821916.512868918
21C01,NO,21,AB37 9 (part),QXC01,,317594.572219486,819709.163685196
