NSIS2 SAMPLE ID,SITE NAME,East,North,LAT,LON,,,,,,,,
968648,ACHINDUICH,259978,900069,-4.3686482,57.967794,,,,,,,,
968514,ACHVARASDAL,299990,959997,-3.7185223,58.516593,,,,,,,,
968619,AISIR,220018,959960,-5.0895372,58.490568,,,,,,,,
968630,ALLT AN LAGAIN,240005,959995,-4.7471404,58.498674,,,,,,,,
968829,ANANCAUN,200027,859995,-5.3469266,57.585573,,,,,,,,
968888,APPLECROSS,179971,840026,-5.6636877,57.397247,,,,,,,,
926200,ARBIRLOT,360025,739971,-2.6518119,56.550014,,,,,,,,
891506,ARDALLIE,399935,839949,-2.0027342,57.449848,,,,,,,,
926456,ARECLEOCH,219995,579992,-4.8215349,55.081633,,,,,,,,
926808,ARRAN,200009,639964,-5.1769633,55.612051,,,,,,,,
968734,ASSYNT,219998,919996,-5.0587527,58.132146,,,,,,,,
968912,ATTADALE,199987,839987,-5.3311948,57.406138,,,,,,,,
926541,AUCHNOTTEROCH,200007,560003,-5.1202184,54.894624,,,,,,,,
926591,BAADSMILL,299998,659999,-3.5977291,55.822845,,,,,,,,
891459,BALCALK,340019,740021,-2.9771829,56.548331,,,,,,,,
895478,BALHOMISH,300110,739922,-3.6260189,56.540645,,,,,,,,
891816,BALSPORRAN,260096,779884,-4.2980067,56.889151,,,,,,,,
926631,BANKNOCK,280014,679993,-3.9253944,55.997831,,,,,,,,
926231,BELFORD ON BOWMONT,380030,619968,-2.3174585,55.473125,,,,,,,,
1018862,BEN VUIRICH,300000,770000,-3.6395015,56.810723,,,,,,,,
926282,BINNING WOOD,360023,680043,-2.6427459,56.011639,,,,,,,,
926776,BLACK RIG,320004,619980,-3.2668467,55.467088,,,,,,,,
891909,BLACKWATER,239995,760046,-4.6151467,56.704623,,,,,,,,
891933,BOHALLY WOOD,280013,759970,-3.9619608,56.715942,,,,,,,,
968482,BORROWSTOUN,299993,680005,-3.6052179,56.002523,,,,,,,,
968556,BRAE&OAPE,239995,899992,-4.7059892,57.960366,,,,,,,,
968566,BRAEMORE,220002,879997,-5.0282698,57.773389,,,,,,,,
968492,BREAC MOR,280016,959980,-4.0611611,58.511394,,,,,,,,
926271,BROOMIEKNOWE,339993,579963,-2.9421802,55.110419,,,,,,,,
891944,BRUACH BURN,240028,699962,-4.5778292,56.165392,,,,,,,,
926347,BUSBIEHEAD,240000,640000,-4.5428067,55.627172,,,,,,,,
926392,CADDONHEAD,340003,639998,-2.9549337,55.649796,,,,,,,,
926552,CAMRIEHONEYPIG,220002,559964,-4.8088323,54.901878,,,,,,,,
891974,CAORACH 84,280017,820000,-3.9904617,57.254887,,,,,,,,
926316,CHANLOCK 84,279989,600013,-3.8908637,55.279586,,,,,,,,
891376,CLATHY,299996,719974,-3.620227,56.36148,,,,,,,,
968546,COIRE NA SEILGE,259998,919993,-4.3801796,58.146598,,,,,,,,
968798,Coire nam Mang,280026,939940,-4.0505042,58.33153,,,,,,,,
1018928,COIRE NAN CLACH,310008,800003,-3.4863329,57.082204,,,,,,,,
926487,COLL,119982,760002,-6.5698489,56.647769,,,,,,,,
1018746,COLL,115038,755045,-6.6447417,56.600401,,,,,,,,
926865,COMB HILL,340089,600017,-2.9449337,55.290609,,,,,,,,
968775,CORRIEYARACK,240036,799968,-4.6396299,57.062895,,,,,,,,
968597,CORSBACK,320000,960000,-3.3751516,58.520757,,,,,,,,
891355,CORSE,360001,840000,-2.6681192,57.448535,,,,,,,,
891581,CORSEMAUL,339883,840085,-3.0032998,57.447076,,,,,,,,
1018833,COULICK 2,333679,813883,-3.099594,57.210889,,,,,,,,
926705,COWAL,200098,679966,-5.2049154,55.970948,,,,,,,,
926573,CRAIGDHU,240043,540047,-4.4856055,54.729885,,,,,,,,
891493,CRAIGEND,319979,699940,-3.2908173,56.18534,,,,,,,,
891423,CRAIGFORTHIE,380004,819979,-2.3332016,57.270022,,,,,,,,
891592,CRAIGIES,339976,759985,-2.9825338,56.72765,,,,,,,,
926511,CRAIGTARSON,259980,600000,-4.2056142,55.274187,,,,,,,,
926250,CRAIGTON ROW,280050,560017,-3.8730241,54.920391,,,,,,,,
968765,CREAG CALMAN,219999,820010,-4.9840379,57.235297,,,,,,,,
926415,CROSSLAR,260035,620000,-4.2147597,55.453781,,,,,,,,
968587,DALGANACHAN,299986,939982,-3.7098558,58.336914,,,,,,,,
891647,DOCHFOUR,259935,839930,-4.3343754,57.428054,,,,,,,,
891434,DRUM,379998,800003,-2.3316884,57.090581,,,,,,,,
891859,DRUMGUISH,280029,800014,-3.9806419,57.075464,,,,,,,,
891410,DRUMLITHIE,380023,779974,-2.3296798,56.91066,,,,,,,,
891872,DUNMAGLASS,260017,819992,-4.3216864,57.249129,,,,,,,,
926436,EASTER HAPPREW,319982,639985,-3.2729928,55.646792,,,,,,,,
891825,EDRADOUR,299998,760000,-3.6356235,56.720924,,,,,,,,
1018800,ERISKAY,78368,811297,-7.3105073,57.079906,,,,,,,,
891805,FEALAR LODGE,300007,779989,-3.6433158,56.900423,,,,,,,,
891839,FEITH GHORMAILLEAG,280056,780005,-3.9706787,56.895832,,,,,,,,
891735,FERSIT,239975,780003,-4.6279783,56.883712,,,,,,,,
891636,FINDON,260020,859978,-4.3444829,57.608011,,,,,,,,
891884,FINGLACK,279991,840068,-4.0006702,57.435036,,,,,,,,
926753,FOREST OF AE,300027,600043,-3.5755654,55.284333,,,,,,,,
895492,GARROW,280089,739982,-3.9514329,56.536499,,,,,,,,
891660,GARVE,240032,859975,-4.6786254,57.60134,,,,,,,,
926358,GENOCH,239999,599998,-4.5198173,55.268085,,,,,,,,
891851,GLEN MARKIE,259996,800038,-4.3108306,57.070023,,,,,,,,
891963,GLENAMPLE,260055,720011,-4.2662284,56.351681,,,,,,,,
1018853,GLENBAIN P,226528,921092,-4.9488354,58.144587,,,,,,,,
1018875,GLENCARRON,210035,850044,-5.1720367,57.500646,,,,,,,,
891625,GLENISLA,320008,760002,-3.3087741,56.724804,,,,,,,,
891897,GLENLAFF HILL,340009,820009,-2.996302,57.266783,,,,,,,,
926476,GLENLEE,259918,579995,-4.1966796,55.09454,,,,,,,,
891604,GLENTARFF,280021,719986,-3.9433484,56.356941,,,,,,,,
968787,Gordonbush,280038,919981,-4.0399827,58.152387,,,,,,,,
1018894,GREEN KNOWE 2,342465,829422,-2.9577839,57.351642,,,,,,,,
1018822,GREEN TOP 1 75/2,332714,815103,-3.1158971,57.221705,,,,,,,,
1018810,GREEN TOP 2 75/3,332991,815310,-3.1113668,57.223605,,,,,,,,
969014,Hackland,340000,1020000,-3.0479844,59.062727,,,,,,,,
926240,HEATHHALL 85,299983,579988,-3.5691574,55.10418,,,,,,,,
891985,HILL OF PHONES,320003,839991,-3.3344129,57.443161,,,,,,,,
926306,HOARDWEEL,379997,659992,-2.3209107,55.832742,,,,,,,,
1018757,HOUGH,94489,746710,-6.968376,56.512875,,,,,,,,
1018767,HOUGH,94119,747061,-6.9747781,56.515777,,,,,,,,
968528,HOWWOOD,239999,660001,-4.5545211,55.806705,,,,,,,,
891471,INCHIE,259997,699991,-4.2565582,56.171938,,,,,,,,
891572,INCHNACAPE,320000,820000,-3.3279627,57.263635,,,,,,,,
968840,INVERASDALE,180001,879967,-5.6993864,57.755286,,,,,,,,
926835,ISLAY,140062,659982,-6.145295,55.763139,,,,,,,,
926845,JURA,160002,680012,-5.8459839,55.953002,,,,,,,,
891552,KEIG,359993,820009,-2.6649959,57.268973,,,,,,,,
891388,KEMPHILL,319995,740005,-3.3027805,56.5452,,,,,,,,
895466,KERROW,300015,839944,-3.667252,57.438774,,,,,,,,
891920,KILLICHONAN,259970,760017,-4.2891738,56.710781,,,,,,,,
926294,KILLPALLET HEIGHTS,360021,659974,-2.6397998,55.831334,,,,,,,,
891562,KINCARDINE,360089,799995,-2.6601897,57.089208,,,,,,,,
891539,KINTESSACK,300017,860012,-3.6754658,57.618958,,,,,,,,
926787,KINTYRE,180030,659939,-5.5095854,55.782575,,,,,,,,
926798,KINTYRE,180164,639992,-5.4914529,55.603744,,,,,,,,
891614,KIPPENRAIT,279976,700053,-3.9350168,56.177949,,,,,,,,
926642,KNAPDALE,180063,679966,-5.5253145,55.962191,,,,,,,,
926855,KNOCKNAIR,260044,680005,-4.2453359,55.992525,,,,,,,,
926327,LAGHEAD,260036,560014,-4.185052,54.915152,,,,,,,,
926369,LANGHOPE,340008,620020,-2.95051,55.470313,,,,,,,,
968745,LANGWELLULLAPOOL,220005,899992,-5.0433325,57.952733,,,,,,,,
968757,LEVISHIE,240004,819886,-4.6529292,57.241616,,,,,,,,
968924,LEWIS,140019,919996,-6.4131627,58.092399,,,,,,,,
968934,LEWIS,120000,920000,-6.7515671,58.08024,,,,,,,,
968944,LEWIS,99984,899985,-7.0642405,57.888087,,,,,,,,
968954,LEWIS,119990,939976,-6.7756952,58.259029,,,,,,,,
968965,LEWIS,120003,900004,-6.7278193,57.901257,,,,,,,,
968975,LEWIS,140005,939984,-6.4356802,58.271378,,,,,,,,
1018728,LOCH BORALLIE 2,238582,966669,-4.7762562,58.558019,,,,,,,,
968724,LOCH CROCACH,220016,939989,-5.0739243,58.311463,,,,,,,,
968503,LOCH EILEANACH,259996,939958,-4.3922506,58.325756,,,,,,,,
968878,LOCH LYON,239952,740154,-4.6035249,56.526088,,,,,,,,
1018737,LOCH MEADAIDH 3,240149,965053,-4.7482215,58.544101,,,,,,,,
969053,LOCHALSH,199925,819968,-5.3160035,57.226588,,,,,,,,
968818,LOCHAN NA BEARTA,200014,879990,-5.3637255,57.764859,,,,,,,,
891686,LOCHLEE,340014,779979,-2.9866228,56.907244,,,,,,,,
1018842,LOCHLUICHART,230003,869968,-4.8532555,57.687323,,,,,,,,
891482,LOGIE,339993,720004,-2.9729966,56.36852,,,,,,,,
891793,LOWER DELL,299995,820004,-3.6594849,57.25973,,,,,,,,
891345,MAINS OF OXHILL,339999,859999,-3.006285,57.62594,,,,,,,,
891759,MELUNCART,360025,779997,-2.658066,56.909568,,,,,,,,
926221,MENSLAWS,360012,620008,-2.6341114,55.472254,,,,,,,,
926651,MID LORN,180001,719960,-5.5593344,56.3208,,,,,,,,
926662,MID LORN,199958,719934,-5.237188,56.329412,,,,,,,,
926716,MID LORN,219999,720027,-4.9135965,56.338287,,,,,,,,
926728,MID LORN,200101,699977,-5.219808,56.150457,,,,,,,,
926817,MID LORN,180059,699955,-5.5417877,56.14144,,,,,,,,
968984,MOIDART,180048,780023,-5.6096138,56.859361,,,,,,,,
968992,MORVERN,179984,759957,-5.5934083,56.679423,,,,,,,,
926499,MUCK,139997,779966,-6.2646286,56.838165,,,,,,,,
926672,MULL,140021,740009,-6.2239368,56.480201,,,,,,,,
926684,MULL,159986,740020,-5.9005786,56.490894,,,,,,,,
926695,MULL,140083,719984,-6.2030869,56.300815,,,,,,,,
891769,NE CULARDOCH,320004,799997,-3.3214686,57.083998,,,,,,,,
891399,NETHER MAINS,320007,720007,-3.2964512,56.365586,,,,,,,,
926426,NORTH GARNGOUR,279988,639997,-3.9081454,55.638664,,,,,,,,
891709,NORTH LOCHABER,199956,780012,-5.283682,56.868266,,,,,,,,
968852,NORTH LOCHABER,179993,800002,-5.6278923,57.038454,,,,,,,,
969064,NORTH LOCHABER,200009,800008,-5.298636,57.047622,,,,,,,,
969075,NORTH LOCHABER,220013,799981,-4.9693665,57.055625,,,,,,,,
891747,NORTH LORN,220046,759970,-4.9404827,56.696681,,,,,,,,
968862,NORTH LORN,200027,740015,-5.2514196,56.509561,,,,,,,,
968872,NORTH LORN,219986,739985,-4.9275449,56.517352,,,,,,,,
891529,OVERBRAE,380000,859983,-2.3365547,57.629354,,,,,,,,
926621,PAPPERT,239962,679973,-4.5669282,55.985958,,,,,,,,
969003,Rackwick,320000,1000000,-3.3893812,58.879885,,,,,,,,
891519,RATHENS,400029,859999,-2.001175,57.629946,,,,,,,,
926825,RHUM,140024,799988,-6.2847341,57.017544,,,,,,,,
926521,ROUGH FLOW MOSS,279998,620002,-3.8993046,55.459103,,,,,,,,
895504,S CULBLEAN HILL,339981,800093,-2.991961,57.087902,,,,,,,,
968639,SAIL NAN AIGHEAN,240107,940041,-4.7314943,58.319705,,,,,,,,
968536,SALLACHY,240029,920014,-4.7190356,58.140009,,,,,,,,
1018719,SARSGRUM,237760,964111,-4.7885413,58.534767,,,,,,,,
926601,SAUGHLAND,339996,659992,-2.959443,55.829418,,,,,,,,
969024,Scalloway,439987,1140002,-1.2818167,60.14258,,,,,,,,
1018915,SGORAN DUBH MOR,290007,899967,-3.8613313,57.975318,,,,,,,,
926261,SHAWHILL,320003,580010,-3.2554741,55.108015,,,,,,,,
968608,SHEPPARDSTOWN,320001,939962,-3.3681352,58.340844,,,,,,,,
926446,SHIELDHILL,300017,640000,-3.5901049,55.643226,,,,,,,,
926581,SILVERBURN,320046,660038,-3.2778498,55.826935,,,,,,,,
968670,SKYE,160027,819983,-5.9752922,57.207561,,,,,,,,
968682,SKYE,120023,839996,-6.6580378,57.364067,,,,,,,,
968693,SKYE,140007,860048,-6.3481129,57.55551,,,,,,,,
926337,SLONGABER 84,280008,579999,-3.8820681,55.099845,,,,,,,,
891720,SOUTH LOCHABER,219978,779992,-4.9556964,56.876285,,,,,,,,
891954,STOB GLAS,240013,720015,-4.5902057,56.345365,,,,,,,,
926531,STOBIESIDE,260094,640012,-4.2239531,55.633478,,,,,,,,
968659,STRATH RUSDALE,259958,879999,-4.3571685,57.787673,,,,,,,,
891672,STRATHBRAN,220055,860078,-5.0125061,57.594742,,,,,,,,
968577,STRATHRANNOCH,240025,880000,-4.6920441,57.781009,,,,,,,,
926764,TATES 87,319974,599974,-3.2615869,55.287361,,,,,,,,
926611,TILLAN BURN,279982,659993,-3.9170229,55.818228,,,,,,,,
891782,TOLMOUNT,319998,780020,-3.3152222,56.904586,,,,,,,,
1018885,TORNAPRESS,183591,841618,-5.6049788,57.413255,,,,,,,,
968901,TORRIDON,179997,860010,-5.6812602,57.576397,,,,,,,,
968808,Torrish,300046,919973,-3.7002091,58.157297,,,,,,,,
1018904,TOWANREEF P,344706,824655,-2.9194773,57.309105,,,,,,,,
926466,TROOL,240035,580031,-4.5079622,55.088849,,,,,,,,
969033,Twarriefield,439997,1119997,-1.2855271,59.96297,,,,,,,,
968703,UIST,79987,840008,-7.3208386,57.337837,,,,,,,,
968713,UIST,80004,819962,-7.2947125,57.158551,,,,,,,,
1018778,UIST,90007,880085,-7.2060423,57.703274,,,,,,,,
1018789,UIST,70034,870012,-7.5258826,57.599018,,,,,,,,
969043,West Kame,440003,1159999,-1.2775894,60.322111,,,,,,,,
926211,WEST MORRISTON,360006,639988,-2.6371059,55.651769,,,,,,,,
